,date,text,followers,polarity,sentiment_confidence,clusters
0,2019-11-23 18:03:56,b'AAPL 75 billion 100 billion expenditure stock buyback next three year effect Berkshir',283,0.0,0.0,1
1,2019-11-23 18:03:16,b'AAPL Best Yet Come Apple Moves Media Production 854 profit 12',155983,1.0,0.3,2
2,2019-11-23 18:01:07,b'Dont miss next FREE OPTION TRADE Sign Daily Free Trades NVDA TSLA GS AAPL BAC GOOGL FB',494,0.2,0.4,0
3,2019-11-23 17:59:22,b'@berniebrent @thehill #Trump hiding financials tax return promised prior elected #Trump',84,0.0,0.0,1
4,2019-11-23 17:58:15,b'Weekend Review VIDEO 1124 TLT GLD SPY IWM KRE #QQQ SMH AMD MU NVDA LRCX INTC',11262,0.0,0.0,1
5,2019-11-23 17:54:30,b'Press Luck aapl amzn agn brk bhc ba cat ko ibm pep jnj msft tsla mnk fb c wfc jpm',858,0.0,0.0,1
6,2019-11-23 17:51:10,b'DJIA DIA AAPL FB AMZN MSFT Performance chasing Trump impeachment process could push Dow',2692,0.0,0.0,1
7,2019-11-23 17:49:17,b'published Start Simple Investment Bank Home Less 10 Mins #AAPL #TSLA #MGI #PYPL',147,-0.08333333333333333,0.2119047619047619,1
8,2019-11-23 17:42:10,b'Increase real 10 year yield market volatility ahead SPY QQQ DJIA DIA GLD SLV #stockmarket #investin',6862,0.2,0.30000000000000004,0
9,2019-11-23 17:41:41,b'looking technical analysis done follow comment stock chart request',65,0.0,0.1,1
10,2019-11-23 17:40:11,b'Take Actions Change Luck great day aapl amzn agn brk bhc ba cat ko ibm pep jnj',858,0.8,0.75,3
11,2019-11-23 17:39:59,b'#Spotify Investors Worry Free Competitors @themotleyfool #stocks SPOT GOOGL AMZN GOOG AAPL',2721,0.4,0.8,3
12,2019-11-23 17:39:47,b'10 AAPL AXP BA Daily 30 min chart DJIA Components SSI indicator proprietary indicat',806,0.0,0.0,1
13,2019-11-23 17:38:29,b'Luck Changes Sometimes aapl amzn agn brk bhc ba cat ko ibm pep jnj msft tsla mnk fb c wfc',858,0.0,0.0,1
14,2019-11-23 17:37:05,b'Likely Birth aapl amzn agn brk bhc ba cat ko ibm pep jnj msft tsla mnk fb c',858,0.0,1.0,0
15,2019-11-23 17:34:31,b'Luck Starts Birth Though aapl amzn agn brk bhc ba cat ko ibm pep jnj msft tsla mnk fb c',858,0.0,0.0,1
16,2019-11-23 17:32:27,b'Make Luck aapl amzn agn brk bhc ba cat ko ibm pep jnj msft tsla mnk fb c',858,0.0,0.0,1
17,2019-11-23 17:32:03,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',2803,0.2454545454545454,0.4848484848484849,0
18,2019-11-23 17:30:19,b'Ive Studying amp Thinking Luck Luck Changed aapl amzn agn brk bhc ba',858,0.0,0.0,1
